Id,Use Case,Status,Created Date,Close Date,Price,Discount code,Pain,Loss Reason,Close Date_year,Close Date_month,Close Date_day,Close Date_weekday,Created Date_year,Created Date_month,Created Date_day,Created Date_weekday,Duration,Id_is_null,Use Case_is_null,Price_is_null,Discount code_is_null,Pain_is_null,Loss Reason_is_null
doqyhjtv,Educational Seminars,Closed Won,2019-11-17,2019-11-17,300.0,SAVEMORE50,operations,,2019,11,17,6,2019,11,17,6,0.0,False,False,False,False,False,True
,Sports Events,Closed Lost,2019-11-24,2019-11-25,150.0,,operations,price,2019,11,25,0,2019,11,24,6,1.0,True,False,False,True,False,False
,Sports Events,Closed Lost,2019-11-24,2019-11-25,768.0,HALFYEAR20G,operations,no response,2019,11,25,0,2019,11,24,6,1.0,True,False,False,False,False,False
cturqi48,Corporate Events,Closed Won,2019-05-07,2019-05-07,240.0,DISCOUNT50POWER,financial control,,2019,5,7,1,2019,5,7,1,0.0,False,False,False,False,False,True
,Sports Events,Closed Lost,2019-11-17,2019-11-25,240.0,SAVEMONTH50G,financial control,no response,2019,11,25,0,2019,11,17,6,8.0,True,False,False,False,False,False
,Corporate Events,Closed Lost,2019-11-19,2019-11-20,360.0,MONTHSAVE25DEAL,financial control,price,2019,11,20,2,2019,11,19,1,1.0,True,False,False,False,False,False
9pl1etry,Corporate Events,Closed Won,2019-12-18,2019-12-18,768.0,2SEMESTERS20OFF,operations,,2019,12,18,2,2019,12,18,2,0.0,False,False,False,False,False,True
7tkbogep,Corporate Events,Closed Won,2019-11-18,2019-11-18,300.0,MONTH50CUTBACK,operations,,2019,11,18,0,2019,11,18,0,0.0,False,False,False,False,False,True
locj094j,Corporate Events,Closed Won,2019-11-18,2019-11-19,300.0,MONTH50CUTBACK,quality of delivery,,2019,11,19,1,2019,11,18,0,1.0,False,False,False,False,False,True
,Corporate Events,Closed Lost,2019-11-18,2019-11-25,1344.0,YEARLY30PROMO,operations,lost to competitor,2019,11,25,0,2019,11,18,0,7.0,True,False,False,False,False,False
5eksx79k,Sports Events,Closed Won,2019-11-20,2019-11-20,120.0,HALFYEAR20G,financial control,,2019,11,20,2,2019,11,20,2,0.0,False,False,False,False,False,True
,Educational Seminars,Demo 1,2019-07-07,2020-01-26,768.0,HALFYEAR20G,operations,,2020,1,26,6,2019,7,7,6,203.0,True,False,False,False,False,True
0xm8ezpj,Educational Seminars,Closed Won,2019-12-08,2019-12-09,1344.0,ANNUAL30BONUS,financial control,,2019,12,9,0,2019,12,8,6,1.0,False,False,False,False,False,True
xb6toen7,Educational Seminars,Closed Lost,2019-12-10,2019-12-16,1344.0,ANNUAL30BONUS,financial control,no product fit,2019,12,16,0,2019,12,10,1,6.0,False,False,False,False,False,False
lx9pv613,Educational Seminars,Closed Won,2019-12-15,2019-12-18,960.0,YEARLY60,operations,,2019,12,18,2,2019,12,15,6,3.0,False,False,False,False,False,True
iua7p276,Educational Seminars,Closed Won,2019-08-06,2019-12-16,300.0,SAVEMORE50,operations,,2019,12,16,0,2019,8,6,1,132.0,False,False,False,False,False,True
o3mh2glp,Corporate Events,Demo 1,2019-11-11,2020-01-26,240.0,MONTH50REBATE,operations,,2020,1,26,6,2019,11,11,0,76.0,False,False,False,False,False,True
9i1sfcw2,Corporate Events,Closed Won,2019-11-13,2019-07-07,240.0,MONTH50REBATE,operations,,2019,7,7,6,2019,11,13,2,129.0,False,False,False,False,False,True
rdq3yd3z,Corporate Events,Closed Won,2019-11-09,2019-11-10,300.0,MONTH50CUTBACK,operations,,2019,11,10,6,2019,11,9,5,1.0,False,False,False,False,False,True
plc6ykua,Corporate Events,Closed Won,2019-11-16,2019-11-16,360.0,SAVE25LESS,operations,,2019,11,16,5,2019,11,16,5,0.0,False,False,False,False,False,True
3n4vaopa,Corporate Events,Closed Lost,2019-11-16,2019-11-25,360.0,MONTHSAVE25DEAL,quality of delivery,no response,2019,11,25,0,2019,11,16,5,9.0,False,False,False,False,False,False
heil7stb,Educational Seminars,Closed Won,2019-11-16,2019-11-16,120.0,NOCOSTREG,financial control,,2019,11,16,5,2019,11,16,5,0.0,False,False,False,False,False,True
njljf14m,Corporate Events,Closed Won,2019-11-16,2019-11-16,240.0,MONTH50REBATE,,,2019,11,16,5,2019,11,16,5,0.0,False,False,False,False,True,True
kjisr59o,Corporate Events,Closed Won,2019-11-16,2019-11-17,360.0,MONTHSAVE25DEAL,financial control,,2019,11,17,6,2019,11,16,5,1.0,False,False,False,False,False,True
f071ur84,Corporate Events,Closed Won,2019-11-17,2019-11-17,768.0,2SEMESTERS20OFF,operations,,2019,11,17,6,2019,11,17,6,0.0,False,False,False,False,False,True
8ezl9b9h,Educational Seminars,Closed Lost,2019-11-11,2019-11-24,500.0,,quality of delivery,price,2019,11,24,6,2019,11,11,0,13.0,False,False,False,True,False,False
