status,price,pain,duration,has_discount_code,was_corporate_event,lead_has_city,lead_has_acquisition_campaign,lead_source,duration_created,price_isnull,pain_isnull,lead_has_city_isnull,lead_has_acquisition_campaign_isnull,lead_source_isnull,duration_created_isnull
Closed Won,300.0,operations,0,True,False,,,,,False,False,True,True,True,True
Closed Lost,150.0,operations,1,False,False,,,,,False,False,True,True,True,True
Closed Lost,768.0,operations,1,True,False,,,,,False,False,True,True,True,True
Closed Won,240.0,financial control,0,True,True,True,True,Inbound,0.0,False,False,False,False,False,False
Closed Lost,240.0,financial control,8,True,False,,,,,False,False,True,True,True,True
Closed Lost,360.0,financial control,1,True,True,,,,,False,False,True,True,True,True
Closed Won,768.0,operations,0,True,True,False,False,Inbound,0.0,False,False,False,False,False,False
Closed Won,300.0,operations,0,True,True,False,True,Outbound,0.0,False,False,False,False,False,False
Closed Won,300.0,quality of delivery,1,True,True,True,False,Outbound,1.0,False,False,False,False,False,False
Closed Lost,1344.0,operations,7,True,True,,,,,False,False,True,True,True,True
Closed Won,120.0,financial control,0,True,False,,,,,False,False,True,True,True,True
Closed Won,1344.0,financial control,1,True,False,,,,,False,False,True,True,True,True
Closed Lost,1344.0,financial control,6,True,False,True,True,Outbound,2.0,False,False,False,False,False,False
Closed Won,960.0,operations,3,True,False,False,False,Inbound,1.0,False,False,False,False,False,False
Closed Won,300.0,operations,132,True,False,,,,,False,False,True,True,True,True
Closed Won,240.0,operations,-129,True,True,,,,,False,False,True,True,True,True
Closed Won,300.0,operations,1,True,True,,,,,False,False,True,True,True,True
Closed Won,360.0,operations,0,True,True,True,True,Inbound,224.0,False,False,False,False,False,False
Closed Lost,360.0,quality of delivery,9,True,True,False,True,Inbound,8.0,False,False,False,False,False,False
Closed Won,120.0,financial control,0,True,False,,,,,False,False,True,True,True,True
Closed Won,240.0,,0,True,True,,,,,False,True,True,True,True,True
Closed Won,360.0,financial control,1,True,True,True,True,Inbound,0.0,False,False,False,False,False,False
