id,has_city,acquisition_campaign,use_case,source,created_date
23okrabh,True,Other,Corporate Events,Inbound,2018-05-26
hbzt0kp1,True,Other,Other,Inbound,2019-03-29
velluwdq,False,Other,Corporate Events,Inbound,2018-05-26
vwm9vcdc,False,Other,Other,Inbound,2019-03-29
kbfjr4vz,True,Other,Other,Inbound,2019-03-29
su014jpj,True,Other,Other,Inbound,2018-10-17
1sqjzh1n,True,Other,Corporate Events,Inbound,2019-03-29
tj24u1op,True,Other,Corporate Events,Inbound,2018-05-26
0u8prqqe,True,Other,Other,Inbound,2019-03-29
vhio5dmx,False,Other,Corporate Events,Inbound,2019-03-29
ywgrcgoi,True,Other,Corporate Events,Inbound,2018-01-01
henws78r,True,Other,Corporate Events,Inbound,2018-10-17
meg0fk0h,True,Other,Other,Inbound,2019-03-29
54qsircu,True,Other,Corporate Events,Inbound,2018-01-01
uo3alag3,False,Other,Corporate Events,Inbound,2018-10-17
qr9pl81g,False,Other,Corporate Events,Inbound,2019-03-29
ps39rm18,True,Other,Other,Inbound,2018-01-01
fzo8lyur,True,Other,Corporate Events,Inbound,2019-03-29
yexf0pdo,True,Other,Corporate Events,Inbound,2018-01-01
wes0qzke,True,Other,Corporate Events,Inbound,2018-10-17
szuxdaw9,True,Other,Corporate Events,Inbound,2019-03-29
wg048onx,False,Other,Corporate Events,Inbound,2019-03-29
2exqos94,True,Other,Corporate Events,Inbound,2018-01-01
csl917kg,True,Other,Corporate Events,Inbound,2019-03-29
i111haoj,True,Other,Corporate Events,Inbound,2018-10-17
8omf4odw,True,Other,Corporate Events,Inbound,2019-03-29
g6emao6t,True,Other,Corporate Events,Inbound,2018-10-17
ow754ynf,False,Other,Corporate Events,Inbound,2019-03-29
umu0rdsw,True,Other,Other,Inbound,2018-01-01
eaxcqbdg,False,Other,Corporate Events,Inbound,2018-10-17
52m0mquk,True,Other,Corporate Events,Inbound,2019-03-29
c0csrzx6,True,Other,Corporate Events,Inbound,2018-10-17
ge37zmt9,True,Other,Corporate Events,Inbound,2019-03-29
387283th,True,Other,Other,Inbound,2018-10-17
