id,status,created_date,close_date,price,pain,loss_reason,duration,has_discount_code,was_corporate_event
doqyhjtv,Closed Won,2019-11-17,2019-11-17,300.0,operations,,0,True,False
,Closed Lost,2019-11-24,2019-11-25,150.0,operations,price,1,False,False
,Closed Lost,2019-11-24,2019-11-25,768.0,operations,no response,1,True,False
cturqi48,Closed Won,2019-05-07,2019-05-07,240.0,financial control,,0,True,True
,Closed Lost,2019-11-17,2019-11-25,240.0,financial control,no response,8,True,False
,Closed Lost,2019-11-19,2019-11-20,360.0,financial control,price,1,True,True
9pl1etry,Closed Won,2019-12-18,2019-12-18,768.0,operations,,0,True,True
7tkbogep,Closed Won,2019-11-18,2019-11-18,300.0,operations,,0,True,True
locj094j,Closed Won,2019-11-18,2019-11-19,300.0,quality of delivery,,1,True,True
,Closed Lost,2019-11-18,2019-11-25,1344.0,operations,lost to competitor,7,True,True
5eksx79k,Closed Won,2019-11-20,2019-11-20,120.0,financial control,,0,True,False
0xm8ezpj,Closed Won,2019-12-08,2019-12-09,1344.0,financial control,,1,True,False
xb6toen7,Closed Lost,2019-12-10,2019-12-16,1344.0,financial control,no product fit,6,True,False
lx9pv613,Closed Won,2019-12-15,2019-12-18,960.0,operations,,3,True,False
iua7p276,Closed Won,2019-08-06,2019-12-16,300.0,operations,,132,True,False
9i1sfcw2,Closed Won,2019-11-13,2019-07-07,240.0,operations,,-129,True,True
rdq3yd3z,Closed Won,2019-11-09,2019-11-10,300.0,operations,,1,True,True
plc6ykua,Closed Won,2019-11-16,2019-11-16,360.0,operations,,0,True,True
3n4vaopa,Closed Lost,2019-11-16,2019-11-25,360.0,quality of delivery,no response,9,True,True
heil7stb,Closed Won,2019-11-16,2019-11-16,120.0,financial control,,0,True,False
njljf14m,Closed Won,2019-11-16,2019-11-16,240.0,,,0,True,True
kjisr59o,Closed Won,2019-11-16,2019-11-17,360.0,financial control,,1,True,True
f071ur84,Closed Won,2019-11-17,2019-11-17,768.0,operations,,0,True,True
8ezl9b9h,Closed Lost,2019-11-11,2019-11-24,500.0,quality of delivery,price,13,False,False
uslx2c8c,Closed Lost,2019-11-17,2019-11-18,360.0,financial control,lost to competitor,1,True,True
,Closed Lost,2019-07-06,2019-07-06,334.0,operations,lost to competitor,0,False,False
oi8pyr0x,Closed Won,2019-08-06,2019-08-06,600.0,,,0,False,True
b65b1g3z,Closed Won,2019-12-18,2019-12-18,960.0,operations,,0,True,True
